sex,typesite,chheight,mtheight,epreas1,foodexp,y
Male,Rural,107.65,108.85,Important,1450,0
Male,Rural,101.35,114.55,Important,360,0
Male,Urban,100.8,130.3,Not very important,1103,1
Male,Rural,93.2,134.7,Very important,394,1
Male,Rural,107,134.8,Important,1174,0
Male,Rural,104.55,135.4,Important,970,0
Female,Urban,97.2,137.35,Important,710,1
Female,Rural,104.4,137.6,Moderately important,968,0
Male,Rural,100.2,137.75,Important,602,1
Male,Urban,110.9,137.9,Very important,538,0
Male,Rural,100.5,138,Not very important,622,1
Female,Rural,99.05,138,Important,774,1
Male,Rural,96.8,138.1,Moderately important,2082,1
Male,Urban,102.3,138.2,Moderately important,804,0
Female,Rural,102.2,138.4,Not important at all,780,1
Male,Rural,94.5,138.45,Important,684,1
Male,Rural,90.8,138.55,Important,654,1
Female,Rural,111.75,138.7,Important,594,0
Female,Rural,90,138.8,Important,880,1
Female,Rural,93.7,138.85,Important,1148,1
Male,Rural,102.3,139,Very important,2170,1
Male,Rural,99.4,139.05,Important,1640,1
Female,Rural,92,139.05,Moderately important,299,1
Female,Rural,93,139.1,Important,508,1
Female,Rural,101.5,139.2,Not very important,1394,1
Male,Rural,98.8,139.7,Moderately important,996,1
Male,Rural,96.7,139.9,Moderately important,416,1
Female,Rural,94.5,140,Moderately important,540,1
Female,Rural,106.1,140,Important,270,0
Male,Rural,98.15,140.2,Moderately important,668,1
Male,Rural,103.25,140.3,Important,712,0
Female,Rural,98.05,140.3,Important,646,1
Female,Rural,98.35,140.5,Important,848,1
Female,Urban,101.6,140.5,Important,386,0
Female,Rural,102.05,140.55,Important,900,1
Male,Rural,102.2,140.55,Very important,1154,0
Female,Urban,109.15,140.9,Moderately important,2564,0
Male,Urban,107.65,140.9,Moderately important,1542,0
Male,Rural,104.8,141,Moderately important,426,1
Male,Rural,98,141.15,Important,580,1
Female,Rural,99.45,141.15,Very important,764,1
Female,Rural,100.7,141.2,Important,1124,1
Female,Rural,100,141.2,Important,986,1
Male,Rural,100.05,141.2,Very important,960,1
Female,Rural,95.15,141.2,Important,1046,1
Female,Rural,102.1,141.3,Very important,1940,0
Male,Rural,98,141.3,Important,744,1
Male,Rural,95,141.5,Moderately important,500,1
Female,Rural,92.4,141.5,Moderately important,500,1
Female,Rural,105.1,141.5,Important,836,0
Female,Rural,105,141.5,Important,224,0
Male,Urban,99.2,141.5,Important,710,1
Male,Rural,105.95,141.55,Very important,834,0
Female,Rural,107.6,141.55,Important,1088,0
Female,Rural,101.95,141.55,Important,870,0
Male,Rural,105.5,141.6,Important,860,0
Female,Rural,105.4,141.6,Important,766,0
Male,Urban,105.75,141.65,Moderately important,1320,0
Male,Rural,92.25,141.75,Important,882,1
Male,Rural,91,141.85,Moderately important,630,1
Male,Rural,96.7,141.9,Important,546,1
Female,Rural,101.25,141.95,Important,640,0
Male,Rural,107.05,142.1,Moderately important,754,0
Female,Rural,103.5,142.1,Important,1186,0
Male,Rural,91.35,142.25,Moderately important,750,1
Female,Urban,104.5,142.25,Moderately important,201,0
Male,Urban,101.15,142.3,Important,3234,1
Female,Urban,110.15,142.3,Not very important,1672,0
Female,Rural,102.7,142.35,Moderately important,828,0
Male,Rural,107.8,142.45,Important,1362,0
Female,Rural,103.2,142.5,Important,878,0
Male,Rural,101.05,142.5,Important,1330,0
Male,Rural,104.35,142.5,Important,1170,0
Female,Rural,103.2,142.5,Important,712,0
Female,Urban,103.15,142.5,Not very important,1218,0
Male,Rural,101.5,142.6,Moderately important,1072,0
Female,Rural,100.5,142.6,Moderately important,406,1
Male,Rural,102.45,142.65,Not very important,1728,1
Female,Rural,100.35,142.7,Not important at all,310,1
Male,Rural,91.05,142.75,Very important,920,1
Female,Rural,101.5,142.8,Moderately important,600,0
Female,Rural,106.45,142.8,Important,930,0
Female,Rural,106.8,142.8,Important,920,0
Male,Rural,101.1,142.85,Very important,414,1
Female,Rural,103.05,142.85,Moderately important,726,0
Male,Rural,106.1,142.9,Not very important,960,0
